"direction","line_name","org_name","org_lat","org_long","dest_name","dest_lat","dest_long","vech_name","vech_lat","vech_long","next_point_name","arrivial_app","dist_from_stop","weekend_status","day_of_year","time_of_day","delay_mins"
1,"X19","WORTH ST/BROADWAY",40.716377,-74.004883,"ARDEN HTS HUGUENOT AV",40.543644,-74.196716,"NYCT_2568",40.543513,-74.196968,"WOODROW RD/VINELAND AV","at stop",25,FALSE,157,1022,1.21666666666667
1,"Bx26","EARHART LA/ERSKINE PL",40.861114,-73.822549,"BEDFORD PK LEHMAN COLL via ALLERTN",40.877071,-73.890065,"NYCT_4082",40.861376,-73.822827,"HUNTER AV/EARHART LA","< 1 stop away",214,FALSE,341,745,-6.26666666666667
0,"M2","4 AV/E 10 ST",40.731342,-73.990292,"LTD WASHINGTON HTS BWAY - 168 ST",40.840581,-73.938431,"NYCT_3939",40.732258,-73.990148,"UNION SQ E/E 15 ST","< 1 stop away",381,FALSE,278,426,0.3
0,"Bx12-SBS","BROADWAY/ISHAM ST",40.868075,-73.919807,"SELECT BUS BAY PLAZA CO-OP CITY",40.865666,-73.827623,"NYCT_5309",40.862105,-73.895058,"E FORDHAM RD/3 AV","< 1 stop away",409,FALSE,304,1178,13.0833333333333
1,"Bx36","RANDALL AV/OLMSTEAD AV",40.818675,-73.851558,"WASHINGTON HTS GW BRIDGE",40.849034,-73.93731,"NYCT_7709",40.82253,-73.858388,"WHITE PLAINS RD/STORY AV","< 1 stop away",228,FALSE,282,1172,2.68333333333333
1,"X10","E 57 ST/3 AV",40.760429,-73.967674,"PT RICHMOND via NARROWS RD via GANNON AV",40.633698,-74.129776,"NYCT_2701",40.602067,-74.060503,"NARROWS RD N/FINGERBOARD RD","0.5 miles away",806,FALSE,179,545,5.08333333333333
1,"X28","E 23 ST/BROADWAY",40.741142,-73.988792,"CONEY ISLAND SEA GATE via BROADWAY",40.573338,-74.00219,"NYCT_2455",40.592541,-73.993366,"CROPSEY AV/25 AV","approaching",68,FALSE,236,1102,1.83333333333333
1,"Q32","82 ST/NORTHERN BL",40.755196,-73.885406,"MIDTOWN PENN ST",40.749435,-73.991081,"NYCT_4697",40.752613,-73.988573,"7 AV/W 36 ST","approaching",131,FALSE,220,1225,10.8
0,"Bx12-SBS","BROADWAY/ISHAM ST",40.868075,-73.919807,"SELECT BUS BAY PLAZA CO-OP CITY",40.865666,-73.827623,"NYCT_5816",40.8617,-73.911507,"W FORDHAM RD/CEDAR AV","at stop",3,FALSE,335,974,32.8166666666667
0,"Q28","39 AV/138 ST",40.760972,-73.827053,"BAY TERRACE  BELL BL",40.782295,-73.777034,"NYCT_7410",40.762967,-73.794485,"CROCHERON AV/UTOPIA PY","approaching",141,FALSE,352,283,0.466666666666667
